"key","KZ","RU","EN"
"KZ","Қазақша","Казахский","Kazakh"
"RU","Орысша","Русский","Russian"
"EN","Ағылшынша","Английский","English"
"dashboard","Бақылау тақтасы","Панель управления","Dashboard"
"bio","Биография","Биография","Biography"
"articles","Мақалалар","Статьи","Articles"
"projects","Жобалар","Проекты","Projects"
"latest_changes","Соңғы өзгерістер","Последние изменения","Latest changes"
"users","Пайдаланушылар","Пользователи","Users"
"profile","Профиль","Профиль","Profile"
"settings","Параметрлер","Настройки","Settings"
"select_language","Тілді таңдау","Выберите язык","Select language"
"blog","Блог","Блог","Blog"
"select_theme","Түс палитрасын таңдаңыз","Выберите тему","Select theme"
"light_theme","Жарық түс палитрасы","Светлая тема","Light theme"
"dark_theme","Қара түс палитрасы","Темная тема","Dark theme"
"email","Электрондық пошта","Электронная почта","Email"
"type_your_email","Электрондық поштаңызды енгізіңіз","Введите вашу электронную почту","Type your email"
"password","Құпия сөз","Пароль","Password"
"type_your_password","Құпия сөзді енгізіңіз","Введите ваш пароль","Type your password"
"sign_in","Кіру","Войти","Sign in"
"please_type_email","Өтініш, электрондық пошта енгізіңіз","Пожалуйста, введите электронную почту","Please, type email"
"type_valid_email","Дұрыс электрондық пошта енгізіңіз","Введите правильную электронную почту","Type valid email"
"please_type_your_password","Өтініш, құпия сөзді енгізіңіз","Пожалуйста, введите ваш пароль","Please, type your password"
"home","Басты бет","Главная","Home"
"project_add","Жоба қосу","Добавить проект","Add project"
"actions","Әрекеттер","Действия","Actions"
"name","Аты","Наименование","Name"
"no_data","Деректер жоқ","Нет данных","No data"
